0	0
0.01	1300
0.02	7031
0.03	18872
0.04	38024
0.05	65470
0.06	102062
0.07	148555
0.08	205640
0.09	273951
0.1	354078
0.11	446577
0.12	551972
0.13	670762
0.14	803421
0.15	950404
0.16	1112148
0.17	1289073
0.18	1481586
0.19	1690079
0.2	1914933
0.21	2156516
0.22	2415189
0.23	2691301
0.24	2985191
0.25	3297194
0.26	3627633
0.27	3976825
0.28	4345082
0.29	4732708
0.3	5140000
0.31	5567251
0.32	6014748
0.33	6482772
0.34	6971600
0.35	7481505
0.36	8012753
0.37	8565608
0.38	9140330
0.39	9737173
0.4	10356389

