0	0
0.01	387
0.02	2303
0.03	6540
0.04	13713
0.05	24354
0.06	38938
0.07	57900
0.08	81647
0.09	110560
0.1	145000
0.11	185313
0.12	231828
0.13	284864
0.14	344727
0.15	411714
0.16	486112
0.17	568202
0.18	658255
0.19	756537
0.2	863308
0.21	978820
0.22	1103324
0.23	1237061
0.24	1380270
0.25	1533185
0.26	1696037
0.27	1869052
0.28	2052452
0.29	2246457
0.3	2451281
0.31	2667138
0.32	2894237
0.33	3132784
0.34	3382985
0.35	3645039
0.36	3919146
0.37	4205503
0.38	4504304
0.39	4815739
0.4	5140000
