0	0
0.01	5400
0.02	25358
0.03	62667
0.04	119077
0.05	195917
0.06	294277
0.07	415088
0.08	559169
0.09	727252
0.1	920000
0.11	1138023
0.12	1381887
0.13	1652115
0.14	1949203
0.15	2273614
0.16	2625790
0.17	3006147
0.18	3415084
0.19	3852982
0.2	4320205
0.21	4817104
0.22	5344016
0.23	5901266
0.24	6489167
0.25	7108023
0.26	7758127
0.27	8439765
0.28	9153214
0.29	9898741
0.3	10676610
0.31	11487073
0.32	12330381
0.33	13206774
0.34	14116490
0.35	15059759
0.36	16036808
0.37	17047857
0.38	18093122
0.39	19172815
0.4	20287144
