0	0
0.01	72
0.02	477
0.03	1437
0.04	3143
0.05	5767
0.06	9469
0.07	14402
0.08	20710
0.09	28531
0.1	38000
0.11	49247
0.12	62398
0.13	77576
0.14	94902
0.15	114493
0.16	136466
0.17	160932
0.18	188004
0.19	217790
0.2	250400
0.21	285938
0.22	324510
0.23	366220
0.24	411168
0.25	459457
0.26	511185
0.27	566451
0.28	625354
0.29	687988
0.3	754450
0.31	824834
0.32	899235
0.33	977744
0.34	1060454
0.35	1147457
0.36	1238843
0.37	1334701
0.38	1435121
0.39	1540192
0.4	1650000
